 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.20000000e+11  1.03431812e-01  1.03157598e-03 
 1.20080000e+11  1.03040180e-01  1.03158216e-03 
 1.20160000e+11  1.02638216e-01  1.03158854e-03 
 1.20240000e+11  1.02226704e-01  1.03159512e-03 
 1.20320000e+11  1.01806395e-01  1.03160191e-03 
 1.20400000e+11  1.01378009e-01  1.03160890e-03 
 1.20480000e+11  1.00942229e-01  1.03161609e-03 
 1.20560000e+11  1.00499711e-01  1.03162348e-03 
 1.20640000e+11  1.00051075e-01  1.03163107e-03 
 1.20720000e+11  9.95969126e-02  1.03163887e-03 
 1.20800000e+11  9.91377826e-02  1.03164687e-03 
 1.20880000e+11  9.86742156e-02  1.03165506e-03 
 1.20960000e+11  9.82067127e-02  1.03166346e-03 
 1.21040000e+11  9.77357473e-02  1.03167206e-03 
 1.21120000e+11  9.72617653e-02  1.03168086e-03 
 1.21200000e+11  9.67851869e-02  1.03168986e-03 
 1.21280000e+11  9.63064069e-02  1.03169906e-03 
 1.21360000e+11  9.58257959e-02  1.03170846e-03 
 1.21440000e+11  9.53437016e-02  1.03171806e-03 
 1.21520000e+11  9.48604494e-02  1.03172786e-03 
 1.21600000e+11  9.43763434e-02  1.03173785e-03 
 1.21680000e+11  9.38916677e-02  1.03174805e-03 
 1.21760000e+11  9.34066870e-02  1.03175844e-03 
 1.21840000e+11  9.29216478e-02  1.03176903e-03 
 1.21920000e+11  9.24367792e-02  1.03177982e-03 
 1.22000000e+11  9.19522936e-02  1.03179081e-03 
 1.22080000e+11  9.14683880e-02  1.03180199e-03 
 1.22160000e+11  9.09852445e-02  1.03181337e-03 
 1.22240000e+11  9.05030311e-02  1.03182494e-03 
 1.22320000e+11  9.00219025e-02  1.03183672e-03 
 1.22400000e+11  8.95420011e-02  1.03184868e-03 
 1.22480000e+11  8.90634575e-02  1.03186085e-03 
 1.22560000e+11  8.85863910e-02  1.03187321e-03 
 1.22640000e+11  8.81109105e-02  1.03188576e-03 
 1.22720000e+11  8.76371153e-02  1.03189851e-03 
 1.22800000e+11  8.71650951e-02  1.03191145e-03 
 1.22880000e+11  8.66949311e-02  1.03192459e-03 
